postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,ALOR REDEH,KANGAR,PERLIS,,nan,nan,nan
nan,ALOR TOK TERANG,KANGAR,PERLIS,,nan,nan,nan
nan,BOHOR GELAM,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN ABI TOK HASHIM,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN ALOR SENA,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN ARAU,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN BESAR KANGAR,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN BOHOR GUNCAR,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN BUKIT MERANTI,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN HOME GUARD,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN HOSPITAL,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN JUBLI PERAK,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN KAKI BUKIT (BATU 4 1/2),KANGAR,PERLIS,,nan,nan,nan
nan,JALAN KAMPUNG WAN ABDULLAH,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN KANGAR,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN KURUNG BATANG,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN MASJID LAMA,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN MEDAN KANGAR,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN PADANG BOHOR,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN PANGLIMA,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN PEGAWAI,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN PENJARA,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN RAJA MUDA,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN RAJA SYED ALWI,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN RAJA SYED SAFFI,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN SANTAN (5 KM),KANGAR,PERLIS,,nan,nan,nan
nan,JALAN SERULING,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN SYED OMAR,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN TAMAN BUNGA PADI,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN TELUK KACANG,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN TOK KANDANG,KANGAR,PERLIS,,nan,nan,nan
nan,JALAN TUN RAZAK,KANGAR,PERLIS,,nan,nan,nan
nan,JEJAWI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ABI BATAS PAIP,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ABI PADANG MACHANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ABI POKOK ASAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ABI TOK HASHIM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR ARA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR DALAM,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR KABONG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR LANCHANG,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR MARUS,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR PULAI,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR REDEH,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR SENA,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ALOR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG AMAN,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG ASAM 6,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG AUR,KANGAR,PERLIS,,nan,nan,nan
nan,KAMPUNG BAKAU,KANGAR,PERLIS,,nan,nan,nan
