postcode,location,district,state,mukim
01000,Alor Redeh,KANGAR,PERLIS,
01000,Alor Tok Terang,KANGAR,PERLIS,
01000,Bohor Gelam,KANGAR,PERLIS,
01000,Jalan Abi Tok Hashim,KANGAR,PERLIS,
01000,Jalan Alor Sena,KANGAR,PERLIS,
01000,Jalan Arau,KANGAR,PERLIS,
01000,Jalan Besar Kangar,KANGAR,PERLIS,
01000,Jalan Bohor Guncar,KANGAR,PERLIS,
01000,Jalan Bukit Meranti,KANGAR,PERLIS,
01000,Jalan Home Guard,KANGAR,PERLIS,
01000,Jalan Hospital,KANGAR,PERLIS,
01000,Jalan Jubli Perak,KANGAR,PERLIS,
01000,Jalan Kaki Bukit (Batu 4 1/2),KANGAR,PERLIS,
01000,Jalan Kampung Wan Abdullah,KANGAR,PERLIS,
01000,Jalan Kangar,KANGAR,PERLIS,
01000,Jalan Kurung Batang,KANGAR,PERLIS,
01000,Jalan Masjid Lama,KANGAR,PERLIS,
01000,Jalan Medan Kangar,KANGAR,PERLIS,
01000,Jalan Padang Bohor,KANGAR,PERLIS,
01000,Jalan Panglima,KANGAR,PERLIS,
01000,Jalan Pegawai,KANGAR,PERLIS,
01000,Jalan Penjara,KANGAR,PERLIS,
01000,Jalan Raja Muda,KANGAR,PERLIS,
01000,Jalan Raja Syed Alwi,KANGAR,PERLIS,
01000,Jalan Raja Syed Saffi,KANGAR,PERLIS,
01000,Jalan Santan (5 KM),KANGAR,PERLIS,
01000,Jalan Seruling,KANGAR,PERLIS,
01000,Jalan Syed Omar,KANGAR,PERLIS,
01000,Jalan Taman Bunga Padi,KANGAR,PERLIS,
01000,Jalan Teluk Kacang,KANGAR,PERLIS,
01000,Jalan Tok Kandang,KANGAR,PERLIS,
01000,Jalan Tun Razak,KANGAR,PERLIS,
01000,Jejawi,KANGAR,PERLIS,
01000,Kampung Abi Batas Paip,KANGAR,PERLIS,
01000,Kampung Abi Padang Machang,KANGAR,PERLIS,
01000,Kampung Abi Pokok Asam,KANGAR,PERLIS,
01000,Kampung Abi Tok Hashim,KANGAR,PERLIS,
01000,Kampung Alor Ara,KANGAR,PERLIS,
01000,Kampung Alor Dalam,KANGAR,PERLIS,
01000,Kampung Alor Kabong,KANGAR,PERLIS,
01000,Kampung Alor Lanchang,KANGAR,PERLIS,
01000,Kampung Alor Marus,KANGAR,PERLIS,
01000,Kampung Alor Pulai,KANGAR,PERLIS,
01000,Kampung Alor Redeh,KANGAR,PERLIS,
01000,Kampung Alor Sena,KANGAR,PERLIS,
01000,Kampung Alor,KANGAR,PERLIS,
01000,Kampung Aman,KANGAR,PERLIS,
01000,Kampung Asam 6,KANGAR,PERLIS,
01000,Kampung Aur,KANGAR,PERLIS,
01000,Kampung Bakau,KANGAR,PERLIS,
01000,Kampung Bakong (Jejawi),KANGAR,PERLIS,
01000,Kampung Baroh,KANGAR,PERLIS,
01000,Kampung Baru Santan,KANGAR,PERLIS,
01000,Kampung Baru,KANGAR,PERLIS,
01000,Kampung Batu 3.5 (Jalan Kaki Bukit),KANGAR,PERLIS,
01000,Kampung Batu Pahat,KANGAR,PERLIS,
01000,Kampung Behor Cicar,KANGAR,PERLIS,
01000,Kampung Behor Empiang,KANGAR,PERLIS,
01000,Kampung Behor Inai,KANGAR,PERLIS,
01000,Kampung Behor Janggus,KANGAR,PERLIS,
01000,Kampung Behor Kebal,KANGAR,PERLIS,
01000,Kampung Behor Pulai,KANGAR,PERLIS,
01000,Kampung Behor Temak,KANGAR,PERLIS,
01000,Kampung Belangga Pudak,KANGAR,PERLIS,
01000,Kampung Belat Santan,KANGAR,PERLIS,
01000,Kampung Belukar (Kangar),KANGAR,PERLIS,
01000,Kampung Bendang Baru,KANGAR,PERLIS,
01000,Kampung Binjal,KANGAR,PERLIS,
01000,Kampung Bintong,KANGAR,PERLIS,
01000,Kampung Bohor Chichar,KANGAR,PERLIS,
01000,Kampung Bohor Gandil,KANGAR,PERLIS,
01000,Kampung Bohor Gelam,KANGAR,PERLIS,
01000,Kampung Bohor Goncar,KANGAR,PERLIS,
01000,Kampung Bohor Inai,KANGAR,PERLIS,
01000,Kampung Bohor Temak,KANGAR,PERLIS,
01000,Kampung Bukit Besi Hangit,KANGAR,PERLIS,
01000,Kampung Bukit Kecil,KANGAR,PERLIS,
01000,Kampung Bunga Pudak,KANGAR,PERLIS,
01000,Kampung Dagang,KANGAR,PERLIS,
01000,Kampung Dasri,KANGAR,PERLIS,
01000,Kampung Datuk,KANGAR,PERLIS,
01000,Kampung Guar Syed Alwi,KANGAR,PERLIS,
01000,Kampung Guar Ujung Batu,KANGAR,PERLIS,
01000,Kampung Gunong,KANGAR,PERLIS,
01000,Kampung Guru,KANGAR,PERLIS,
01000,Kampung Haji Daud,KANGAR,PERLIS,
01000,Kampung Hutan Buluh,KANGAR,PERLIS,
01000,Kampung Hutan Melintang,KANGAR,PERLIS,
01000,Kampung Jarak,KANGAR,PERLIS,
01000,Kampung Jejawi Dalam,KANGAR,PERLIS,
01000,Kampung Jejawi Sematang,KANGAR,PERLIS,
01000,Kampung Kechor,KANGAR,PERLIS,
01000,Kampung Keranji,KANGAR,PERLIS,
01000,Kampung Kota Keran,KANGAR,PERLIS,
01000,Kampung Kota Ulu,KANGAR,PERLIS,
01000,Kampung Kota,KANGAR,PERLIS,
01000,Kampung Kubang Arang,KANGAR,PERLIS,
01000,Kampung Kubang Badak,KANGAR,PERLIS,
01000,Kampung Kubang Cekuang,KANGAR,PERLIS,
01000,Kampung Kubang Gajah,KANGAR,PERLIS,
01000,Kampung Kurung Batang,KANGAR,PERLIS,
01000,Kampung Lin,KANGAR,PERLIS,
01000,Kampung Masjid (Kangar),KANGAR,PERLIS,
01000,Kampung Mengkuang Layar,KANGAR,PERLIS,
01000,Kampung Nissam,KANGAR,PERLIS,
01000,Kampung Nyak Adam,KANGAR,PERLIS,
01000,Kampung Padang Behor,KANGAR,PERLIS,
01000,Kampung Padang Jawa Seriab,KANGAR,PERLIS,
01000,Kampung Padang Katong,KANGAR,PERLIS,
01000,Kampung Padang Kedepiang,KANGAR,PERLIS,
01000,Kampung Padang Machang,KANGAR,PERLIS,
01000,Kampung Padang Nyaring,KANGAR,PERLIS,
01000,Kampung Padang Pauh,KANGAR,PERLIS,
01000,Kampung Padang Petani,KANGAR,PERLIS,
01000,Kampung Padang Seberang,KANGAR,PERLIS,
01000,Kampung Panggau,KANGAR,PERLIS,
01000,Kampung Parit Jari,KANGAR,PERLIS,
01000,Kampung Penghulu Bakar,KANGAR,PERLIS,
01000,Kampung Pengkalan Asam,KANGAR,PERLIS,
01000,Kampung Peseri,KANGAR,PERLIS,
01000,Kampung Petai Hilir,KANGAR,PERLIS,
01000,Kampung Petai,KANGAR,PERLIS,
01000,Kampung Pokok Jawi,KANGAR,PERLIS,
01000,Kampung Pondok,KANGAR,PERLIS,
01000,Kampung Pulau,KANGAR,PERLIS,
01000,Kampung Repoh Dagang,KANGAR,PERLIS,
01000,Kampung Repoh,KANGAR,PERLIS,
01000,Kampung Salang,KANGAR,PERLIS,
01000,Kampung Santan Aur,KANGAR,PERLIS,
01000,Kampung Santan Belat,KANGAR,PERLIS,
01000,Kampung Santan Enam,KANGAR,PERLIS,
01000,Kampung Santan Masjid,KANGAR,PERLIS,
01000,Kampung Santan,KANGAR,PERLIS,
01000,Kampung Sempering,KANGAR,PERLIS,
01000,Kampung Sena Sematang,KANGAR,PERLIS,
01000,Kampung Sena,KANGAR,PERLIS,
01000,Kampung Sentang,KANGAR,PERLIS,
01000,Kampung Sentua,KANGAR,PERLIS,
01000,Kampung Seriab,KANGAR,PERLIS,
01000,Kampung Sungai Bakong,KANGAR,PERLIS,
01000,Kampung Sungai Baru,KANGAR,PERLIS,
01000,Kampung Sungai Santan,KANGAR,PERLIS,
01000,Kampung Sungai Siran,KANGAR,PERLIS,
01000,Kampung Surau,KANGAR,PERLIS,
01000,Kampung Syed Umar,KANGAR,PERLIS,
01000,Kampung Tanjung Buluh,KANGAR,PERLIS,
01000,Kampung Tanjung Gorah,KANGAR,PERLIS,
01000,Kampung Tanjung Sila,KANGAR,PERLIS,
01000,Kampung Tanjung,KANGAR,PERLIS,
01000,Kampung Tebing Tinggi,KANGAR,PERLIS,
01000,Kampung Telaga Idi,KANGAR,PERLIS,
01000,Kampung Telaga Nyiur Manis,KANGAR,PERLIS,
01000,Kampung Telok Epa,KANGAR,PERLIS,
01000,Kampung Telok Gelam,KANGAR,PERLIS,
01000,Kampung Telok Jambu,KANGAR,PERLIS,
01000,Kampung Telok Kacang,KANGAR,PERLIS,
01000,Kampung Telok Tui,KANGAR,PERLIS,
01000,Kampung Temak,KANGAR,PERLIS,
01000,Kampung Tengah Abi,KANGAR,PERLIS,
01000,Kampung Titi Teras,KANGAR,PERLIS,
01000,Kampung Titi Tok Bandar,KANGAR,PERLIS,
01000,Kampung Tok Dewa,KANGAR,PERLIS,
01000,Kampung Tok Gong,KANGAR,PERLIS,
01000,Kampung Tok Jawa,KANGAR,PERLIS,
01000,Kampung Tok Jepun,KANGAR,PERLIS,
01000,Kampung Tok Kandang,KANGAR,PERLIS,
01000,Kampung Tok Kembong,KANGAR,PERLIS,
01000,Kampung Tok Larak,KANGAR,PERLIS,
01000,Kampung Tok Peduka,KANGAR,PERLIS,
01000,Kampung Tok Pong,KANGAR,PERLIS,
01000,Kampung Tok Sumbing,KANGAR,PERLIS,
01000,Kampung Ujung Bukit,KANGAR,PERLIS,
01000,Kampung Utan Aji,KANGAR,PERLIS,
01000,Kampung Utan Temak,KANGAR,PERLIS,
01000,Kampung Wang Belimbing,KANGAR,PERLIS,
01000,Kampung Wang Besar,KANGAR,PERLIS,
01000,Kampung Wang Ulu,KANGAR,PERLIS,
01000,Kangar,KANGAR,PERLIS,
01000,Kubang Arang,KANGAR,PERLIS,
01000,Lorong Haji Seman,KANGAR,PERLIS,
01000,Lorong Kampung Sena,KANGAR,PERLIS,
01000,Lorong Nisam,KANGAR,PERLIS,
01000,Lorong Sekolah,KANGAR,PERLIS,
01000,Lukuk Gajah,KANGAR,PERLIS,
01000,Mengkuang Layar,KANGAR,PERLIS,
01000,Padang Bohor,KANGAR,PERLIS,
01000,Pengkalan Asam,KANGAR,PERLIS,
01000,Perumahan Awam Bohor Lateh,KANGAR,PERLIS,
01000,Perumahan Awam Santan,KANGAR,PERLIS,
01000,Repoh,KANGAR,PERLIS,
01000,Sena Rendang,KANGAR,PERLIS,
01000,Taman Abu Bakar Munir,KANGAR,PERLIS,
01000,Taman Aman,KANGAR,PERLIS,
01000,Taman Bakau Emas,KANGAR,PERLIS,
01000,Taman Behor Indah,KANGAR,PERLIS,
01000,Taman Bintong Maju,KANGAR,PERLIS,
01000,Taman Bintong Setia,KANGAR,PERLIS,
01000,Taman Bintong Utama,KANGAR,PERLIS,
01000,Taman Bukit Kaya,KANGAR,PERLIS,
01000,Taman Bukit Kayangan,KANGAR,PERLIS,
01000,Taman Bumita,KANGAR,PERLIS,
01000,Taman Bunga Kemboja RPA,KANGAR,PERLIS,
01000,Taman Bunga Raya,KANGAR,PERLIS,
01000,Taman Cahaya,KANGAR,PERLIS,
01000,Taman Cergas,KANGAR,PERLIS,
01000,Taman Ceria,KANGAR,PERLIS,
01000,Taman Choo Kee,KANGAR,PERLIS,
01000,Taman Datuk Jaafar Hassan,KANGAR,PERLIS,
01000,Taman Datuk Setia,KANGAR,PERLIS,
01000,Taman Datuk Wan Ahmad,KANGAR,PERLIS,
01000,Taman Desa Bintong,KANGAR,PERLIS,
01000,Taman Desa Jarak,KANGAR,PERLIS,
01000,Taman Desa Katong,KANGAR,PERLIS,
01000,Taman Desa Kayangan,KANGAR,PERLIS,
01000,Taman Desa Pulai,KANGAR,PERLIS,
01000,Taman Desa Putra,KANGAR,PERLIS,
01000,Taman Desa Sentua,KANGAR,PERLIS,
01000,Taman Fauziah,KANGAR,PERLIS,
01000,Taman Firdaus,KANGAR,PERLIS,
01000,Taman Gasing,KANGAR,PERLIS,
01000,Taman Gembira,KANGAR,PERLIS,
01000,Taman Guru Jaya,KANGAR,PERLIS,
01000,Taman Guru,KANGAR,PERLIS,
01000,Taman Hijrah,KANGAR,PERLIS,
01000,Taman Idaman,KANGAR,PERLIS,
01000,Taman Indera,KANGAR,PERLIS,
01000,Taman Intan,KANGAR,PERLIS,
01000,Taman Ira,KANGAR,PERLIS,
01000,Taman Jali,KANGAR,PERLIS,
01000,Taman Jarak,KANGAR,PERLIS,
01000,Taman Jawi Matang,KANGAR,PERLIS,
01000,Taman Jaya Diri,KANGAR,PERLIS,
01000,Taman Jaya,KANGAR,PERLIS,
01000,Taman Jejawi,KANGAR,PERLIS,
01000,Taman Jelati,KANGAR,PERLIS,
01000,Taman Kangar,KANGAR,PERLIS,
01000,Taman Kastam,KANGAR,PERLIS,
01000,Taman Kayangan Indah,KANGAR,PERLIS,
01000,Taman Kechor Indah,KANGAR,PERLIS,
01000,Taman Kechor Jaya,KANGAR,PERLIS,
01000,Taman Kecor Indah,KANGAR,PERLIS,
01000,Taman Kemajuan,KANGAR,PERLIS,
01000,Taman Kenanga,KANGAR,PERLIS,
01000,Taman Koperasi,KANGAR,PERLIS,
01000,Taman Lewata,KANGAR,PERLIS,
01000,Taman Lima Naleh,KANGAR,PERLIS,
01000,Taman Mada Sepakat,KANGAR,PERLIS,
01000,Taman Mas Muda,KANGAR,PERLIS,
01000,Taman Mas Putra,KANGAR,PERLIS,
01000,Taman Mas Ria,KANGAR,PERLIS,
01000,Taman Medan Sepakat,KANGAR,PERLIS,
01000,Taman Merpati,KANGAR,PERLIS,
01000,Taman Mesra Jejawi,KANGAR,PERLIS,
01000,Taman Mesra,KANGAR,PERLIS,
01000,Taman Mewah,KANGAR,PERLIS,
01000,Taman Muda Sepakat,KANGAR,PERLIS,
01000,Taman Murni,KANGAR,PERLIS,
01000,Taman Mutiara,KANGAR,PERLIS,
01000,Taman Norma,KANGAR,PERLIS,
01000,Taman Peduka,KANGAR,PERLIS,
01000,Taman Pekeliling,KANGAR,PERLIS,
01000,Taman Pengkalan Assam,KANGAR,PERLIS,
01000,Taman Pengkalan Indah,KANGAR,PERLIS,
01000,Taman Perlis,KANGAR,PERLIS,
01000,Taman Permai,KANGAR,PERLIS,
01000,Taman Pertama,KANGAR,PERLIS,
01000,Taman Pertiwi Indah,KANGAR,PERLIS,
01000,Taman Pertiwi Seriab,KANGAR,PERLIS,
01000,Taman Putera,KANGAR,PERLIS,
01000,Taman Putra Putri,KANGAR,PERLIS,
01000,Taman Rasa Sayang,KANGAR,PERLIS,
01000,Taman Repoh Indah,KANGAR,PERLIS,
01000,Taman Repoh Jaya,KANGAR,PERLIS,
01000,Taman Repoh,KANGAR,PERLIS,
01000,Taman Sena Indah,KANGAR,PERLIS,
01000,Taman Sena Permai,KANGAR,PERLIS,
01000,Taman Sena,KANGAR,PERLIS,
01000,Taman Sentua,KANGAR,PERLIS,
01000,Taman Sepadu 1,KANGAR,PERLIS,
01000,Taman Sepadu,KANGAR,PERLIS,
01000,Taman Seri Bahagia,KANGAR,PERLIS,
01000,Taman Seri Embun,KANGAR,PERLIS,
01000,Taman Seri Idaman,KANGAR,PERLIS,
01000,Taman Seri Intan,KANGAR,PERLIS,
01000,Taman Seri Manis,KANGAR,PERLIS,
01000,Taman Seri Medan,KANGAR,PERLIS,
01000,Taman Seri Murni,KANGAR,PERLIS,
01000,Taman Seri Pilihan,KANGAR,PERLIS,
01000,Taman Seri Puchong,KANGAR,PERLIS,
01000,Taman Seri Pulai 4,KANGAR,PERLIS,
01000,Taman Seri Tanjung,KANGAR,PERLIS,
01000,Taman Seriab,KANGAR,PERLIS,
01000,Taman Setia Utama,KANGAR,PERLIS,
01000,Taman Simpang Tiga,KANGAR,PERLIS,
01000,Taman Sri Guar Syed Alwi,KANGAR,PERLIS,
01000,Taman Suriani,KANGAR,PERLIS,
01000,Taman Syed Alwi,KANGAR,PERLIS,
01000,Taman Ten,KANGAR,PERLIS,
01000,Taman Teratai,KANGAR,PERLIS,
01000,Taman Tok Peduka,KANGAR,PERLIS,
01000,Taman Utama Indah,KANGAR,PERLIS,
01000,Taman Utama,KANGAR,PERLIS,
01000,Taman Utara,KANGAR,PERLIS,
01000,Taman Wira,KANGAR,PERLIS,
01000,Titi Chai,KANGAR,PERLIS,
01000,Titi Midin,KANGAR,PERLIS,
01000,Tok Peduka,KANGAR,PERLIS,
01000,Ujung Batu,KANGAR,PERLIS,
01007,Peti Surat,KANGAR,PERLIS,
01009,Beg Berkunci,KANGAR,PERLIS,
01500,DYMM Tuanku Raja Perlis,KANGAR,PERLIS,
01502,YAB Menteri Besar Perlis,KANGAR,PERLIS,
01503,Setiausaha Kerajaan Negeri,KANGAR,PERLIS,
01504,Biro Bantuan Guaman,KANGAR,PERLIS,
01505,Biro Pengaduan Awam,KANGAR,PERLIS,
01506,Mahkamah Sesyen,KANGAR,PERLIS,
01506,Mahkamah Tinggi,KANGAR,PERLIS,
01508,Amanah Raya Berhad,KANGAR,PERLIS,
01512,Penasihat Undang-Undang Negeri,KANGAR,PERLIS,
01514,Jabatan Perangkaan,KANGAR,PERLIS,
01516,Jabatan Pemegang Harta,KANGAR,PERLIS,
01517,Jabatan Perpaduan Negara,KANGAR,PERLIS,
01518,Jabatan Audit Negeri,KANGAR,PERLIS,
01524,Setiausaha Keselamatan Negeri,KANGAR,PERLIS,
01529,Unit Penyelidikan Sosio Ekonomi,KANGAR,PERLIS,
01532,Jabatan Sumber Manusia,KANGAR,PERLIS,
01538,Jabatan Keselamatan Sosial (Perkeso),KANGAR,PERLIS,
01540,Jabatan Tenaga Rakyat,KANGAR,PERLIS,
01546,Pejabat Rela Negeri,KANGAR,PERLIS,
01546,Unit Pencegah Penyeludupan,KANGAR,PERLIS,
01550,Jabatan Imigresen,KANGAR,PERLIS,
01551,Jabatan Pendaftaran Negara,KANGAR,PERLIS,
01556,Jabatan Pertahanan Awam,KANGAR,PERLIS,
01560,Ketua Polis Negeri,KANGAR,PERLIS,
01564,Jabatan Kebajikan Masyarakat,KANGAR,PERLIS,
01570,Jabatan Belia & Sukan,KANGAR,PERLIS,
01572,Perpustakaan Awam Negeri,KANGAR,PERLIS,
01576,Jabatan Tanah & Galian,KANGAR,PERLIS,
01578,Jabatan Ukur & Pemetaan,KANGAR,PERLIS,
01582,Jabatan Kerja Raya,KANGAR,PERLIS,
01586,Hospital Kangar,KANGAR,PERLIS,
01590,Jabatan Kesihatan,KANGAR,PERLIS,
01592,Pegawai Kewangan Negeri,KANGAR,PERLIS,
01594,Akauntan Negeri,KANGAR,PERLIS,
01596,Jabatan Kastam & Eksais Di Raja,KANGAR,PERLIS,
01598,Kumpulan Wang Simpanan Pekerja,KANGAR,PERLIS,
01600,Lembaga Hasil Dalam Negeri,KANGAR,PERLIS,
01604,Jabatan Pendidikan,KANGAR,PERLIS,
01606,Jabatan Kemajuan Masyarakat (Kemas),KANGAR,PERLIS,
01608,Jabatan Pembangunan Koperasi,KANGAR,PERLIS,
01609,Pejabat Mara Negeri,KANGAR,PERLIS,
01610,Bahagian Perlesenan - Kementerian Penerangan,KANGAR,PERLIS,
01612,Jabatan Penerangan,KANGAR,PERLIS,
01614,Jabatan Penyiaran,KANGAR,PERLIS,
01620,Jabatan Pengangkutan Jalan,KANGAR,PERLIS,
01622,Unit Penguatkuasa Kem. Perdagangan & Perindustrian,KANGAR,PERLIS,
01626,Jabatan Pengairan & Saliran,KANGAR,PERLIS,
01628,Jabatan Perikanan,KANGAR,PERLIS,
01630,Jabatan Haiwan,KANGAR,PERLIS,
01632,Jabatan Pertanian,KANGAR,PERLIS,
01634,Panglima Markas 12 Briged,KANGAR,PERLIS,
01644,Majlis Perbandaran Kangar,KANGAR,PERLIS,
01646,Jabatan Perancang Bandar & Desa,KANGAR,PERLIS,
01648,Jabatan Bomba & Penyelamat,KANGAR,PERLIS,
01660,Jabatan Perhutanan,KANGAR,PERLIS,
01664,Jabatan Perhilitan,KANGAR,PERLIS,
01670,Pos Malaysia Berhad,KANGAR,PERLIS,
01672,Telekom Malaysia Berhad,KANGAR,PERLIS,
01673,Tenaga Nasional Berhad,KANGAR,PERLIS,
01674,Pegawai Kemajuan Negeri,KANGAR,PERLIS,
01676,Jabatan Agama Islam Perlis,KANGAR,PERLIS,
01680,Dewan Undangan Negeri,KANGAR,PERLIS,
01694,Jabatan Kebudayaan & Kesenian,KANGAR,PERLIS,
02000,Al Marhom Kayang,KUALA PERLIS,PERLIS,
02000,Bohor Lateh,KUALA PERLIS,PERLIS,
02000,Bohor Mali,KUALA PERLIS,PERLIS,
02000,Bukit Puteh,KUALA PERLIS,PERLIS,
02000,Bukit Tok Po,KUALA PERLIS,PERLIS,
02000,Jalan Besar,KUALA PERLIS,PERLIS,
02000,Jalan Lama Kuala Perlis (Batu 4),KUALA PERLIS,PERLIS,
02000,Jalan Masjid,KUALA PERLIS,PERLIS,
02000,Jalan Miri,KUALA PERLIS,PERLIS,
02000,Jalan Panggong,KUALA PERLIS,PERLIS,
02000,Jalan Serawak,KUALA PERLIS,PERLIS,
02000,Jalan Siakap,KUALA PERLIS,PERLIS,
