postcode,location,district,state,mukim,state_id,postcode1,postcode2,postcode3
01000,Alor Tok Terang,Kangar,PERLIS,,,,,
01000,Bohor Gelam,Kangar,PERLIS,,,,,
01000,Jalan Abi Tok Hashim,Kangar,PERLIS,,,,,
01000,Jalan Alor Sena,Kangar,PERLIS,,,,,
01000,Jalan Arau,Kangar,PERLIS,,,,,
01000,Jalan Besar Kangar,Kangar,PERLIS,,,,,
01000,Jalan Bohor Guncar,Kangar,PERLIS,,,,,
01000,Jalan Bukit Meranti,Kangar,PERLIS,,,,,
01000,Jalan Home Guard,Kangar,PERLIS,,,,,
01000,Jalan Hospital,Kangar,PERLIS,,,,,
01000,Jalan Jubli Perak,Kangar,PERLIS,,,,,
01000,Jalan Kaki Bukit (Batu 4 1/2),Kangar,PERLIS,,,,,
01000,Jalan Kampung Wan Abdullah,Kangar,PERLIS,,,,,
01000,Jalan Kangar,Kangar,PERLIS,,,,,
01000,Jalan Kurung Batang,Kangar,PERLIS,,,,,
01000,Jalan Masjid Lama,Kangar,PERLIS,,,,,
01000,Jalan Medan Kangar,Kangar,PERLIS,,,,,
01000,Jalan Padang Bohor,Kangar,PERLIS,,,,,
01000,Jalan Panglima,Kangar,PERLIS,,,,,
01000,Jalan Pegawai,Kangar,PERLIS,,,,,
01000,Jalan Penjara,Kangar,PERLIS,,,,,
01000,Jalan Raja Muda,Kangar,PERLIS,,,,,
01000,Jalan Raja Syed Alwi,Kangar,PERLIS,,,,,
01000,Jalan Raja Syed Saffi,Kangar,PERLIS,,,,,
01000,Jalan Santan (5 KM),Kangar,PERLIS,,,,,
01000,Jalan Seruling,Kangar,PERLIS,,,,,
01000,Jalan Syed Omar,Kangar,PERLIS,,,,,
01000,Jalan Taman Bunga Padi,Kangar,PERLIS,,,,,
01000,Jalan Teluk Kacang,Kangar,PERLIS,,,,,
01000,Jalan Tok Kandang,Kangar,PERLIS,,,,,
01000,Jalan Tun Razak,Kangar,PERLIS,,,,,
01000,Jejawi,Kangar,PERLIS,,,,,
01000,Kampung Abi Batas Paip,Kangar,PERLIS,,,,,
01000,Kampung Abi Padang Machang,Kangar,PERLIS,,,,,
01000,Kampung Abi Pokok Asam,Kangar,PERLIS,,,,,
01000,Kampung Abi Tok Hashim,Kangar,PERLIS,,,,,
01000,Kampung Alor Ara,Kangar,PERLIS,,,,,
01000,Kampung Alor Dalam,Kangar,PERLIS,,,,,
01000,Kampung Alor Kabong,Kangar,PERLIS,,,,,
01000,Kampung Alor Lanchang,Kangar,PERLIS,,,,,
01000,Kampung Alor Marus,Kangar,PERLIS,,,,,
01000,Kampung Alor Pulai,Kangar,PERLIS,,,,,
01000,Kampung Alor Redeh,Kangar,PERLIS,,,,,
01000,Kampung Alor Sena,Kangar,PERLIS,,,,,
01000,Kampung Alor,Kangar,PERLIS,,,,,
01000,Kampung Aman,Kangar,PERLIS,,,,,
01000,Kampung Asam 6,Kangar,PERLIS,,,,,
01000,Kampung Aur,Kangar,PERLIS,,,,,
01000,Kampung Bakau,Kangar,PERLIS,,,,,
01000,Kampung Bakong (Jejawi),Kangar,PERLIS,,,,,
01000,Kampung Baroh,Kangar,PERLIS,,,,,
01000,Kampung Baru Santan,Kangar,PERLIS,,,,,
01000,Kampung Baru,Kangar,PERLIS,,,,,
01000,Kampung Batu 3.5 (Jalan Kaki Bukit),Kangar,PERLIS,,,,,
01000,Kampung Batu Pahat,Kangar,PERLIS,,,,,
01000,Kampung Behor Cicar,Kangar,PERLIS,,,,,
01000,Kampung Behor Empiang,Kangar,PERLIS,,,,,
01000,Kampung Behor Inai,Kangar,PERLIS,,,,,
01000,Kampung Behor Janggus,Kangar,PERLIS,,,,,
01000,Kampung Behor Kebal,Kangar,PERLIS,,,,,
01000,Kampung Behor Pulai,Kangar,PERLIS,,,,,
01000,Kampung Behor Temak,Kangar,PERLIS,,,,,
01000,Kampung Belangga Pudak,Kangar,PERLIS,,,,,
01000,Kampung Belat Santan,Kangar,PERLIS,,,,,
01000,Kampung Belukar (Kangar),Kangar,PERLIS,,,,,
01000,Kampung Bendang Baru,Kangar,PERLIS,,,,,
01000,Kampung Binjal,Kangar,PERLIS,,,,,
01000,Kampung Bintong,Kangar,PERLIS,,,,,
01000,Kampung Bohor Chichar,Kangar,PERLIS,,,,,
01000,Kampung Bohor Gandil,Kangar,PERLIS,,,,,
01000,Kampung Bohor Gelam,Kangar,PERLIS,,,,,
01000,Kampung Bohor Goncar,Kangar,PERLIS,,,,,
01000,Kampung Bohor Inai,Kangar,PERLIS,,,,,
01000,Kampung Bohor Temak,Kangar,PERLIS,,,,,
01000,Kampung Bukit Besi Hangit,Kangar,PERLIS,,,,,
01000,Kampung Bukit Kecil,Kangar,PERLIS,,,,,
01000,Kampung Bunga Pudak,Kangar,PERLIS,,,,,
01000,Kampung Dagang,Kangar,PERLIS,,,,,
01000,Kampung Dasri,Kangar,PERLIS,,,,,
01000,Kampung Datuk,Kangar,PERLIS,,,,,
