mukim,state_id,district,state,postcode1,postcode2,postcode3,postcode
ABI,9,PERLIS,PERLIS,,,,01000
ARAU,9,PERLIS,PERLIS,02600,02600,02600,02600
BERSERI,9,PERLIS,PERLIS,,,,02400
CHUPING,9,PERLIS,PERLIS,,,,02500
UTAN AJI,9,PERLIS,PERLIS,,,,01000
JEJAWI,9,PERLIS,PERLIS,,01000,,01000
KAYANG,9,PERLIS,PERLIS,,,06900,06900
KECHOR,9,PERLIS,PERLIS,,,,01000
KUALA PERLIS,9,PERLIS,PERLIS,02000,02000,02000,02000
KURONG ANAI,9,PERLIS,PERLIS,,,,02600
KURONG BATANG,9,PERLIS,PERLIS,,,,01000
NGULANG,9,PERLIS,PERLIS,,,,02400
ORAN,9,PERLIS,PERLIS,,,,02500
PADANG PAUH,9,PERLIS,PERLIS,,02600,,02600
PADANG SIDING,9,PERLIS,PERLIS,,,,02600
PAYA,9,PERLIS,PERLIS,,,,02400
SANGLANG,9,PERLIS,PERLIS,,,,02800
SENA,9,PERLIS,PERLIS,,,,01000
SERIAB,9,PERLIS,PERLIS,,,,01000
SUNGAI ADAM,9,PERLIS,PERLIS,,,,02600
TITI TINGGI,9,PERLIS,PERLIS,,,,02100
WANG BINTONG,9,PERLIS,PERLIS,,,,01000
BANDAR ARAU,9,PERLIS,PERLIS,02600,02600,02600,02600
BANDAR KANGAR,9,PERLIS,PERLIS,01000,01000,01000,01000
PEKAN KUALA PERLIS,9,PERLIS,PERLIS,02000,02000,"02000, 26600",02000
PEKAN KAKI BUKIT,9,PERLIS,PERLIS,02200,02200,"02200, 26600",02200
ALOR MALAI,2,KOTA SETAR,KEDAH,,05460,71350,05460
ALOR MERAH,2,KOTA SETAR,KEDAH,,05250,71350,05250
ANAK BUKIT,2,KOTA SETAR,KEDAH,,06550,71350,06550
BUKIT PINANG,2,KOTA SETAR,KEDAH,,06200,71350,06200
DERGA,2,KOTA SETAR,KEDAH,,,71350,71350
GUNONG,2,KOTA SETAR,KEDAH,,,71350,71350
HUTAN KAMPONG,2,KOTA SETAR,KEDAH,,,71350,71350
KANGKONG,2,KOTA SETAR,KEDAH,,06650,71350,06650
KOTA SETAR,2,KOTA SETAR,KEDAH,,,71350,71350
KUALA KEDAH,2,KOTA SETAR,KEDAH,06600,06600,"06600, 71350",06600
KUBANG ROTAN,2,KOTA SETAR,KEDAH,,,71350,71350
LANGGAR,2,KOTA SETAR,KEDAH,06500,06500,"06500, 71350",06500
LENGKUAS,2,KOTA SETAR,KEDAH,,,71350,71350
LEPAI,2,KOTA SETAR,KEDAH,,05350,71350,05350
LIMBONG,2,KOTA SETAR,KEDAH,,,71350,71350
MERGONG,2,KOTA SETAR,KEDAH,,05150,71350,05150
PADANG HANG,2,KOTA SETAR,KEDAH,,,71350,71350
PADANG LALANG,2,KOTA SETAR,KEDAH,,06250,71350,06250
PENGKALAN KUNDOR,2,KOTA SETAR,KEDAH,,,71350,71350
PUMPONG,2,KOTA SETAR,KEDAH,,05250,71350,05250
SALA KECHIK,2,KOTA SETAR,KEDAH,,,71350,71350
SUNGAI BAHARU,2,KOTA SETAR,KEDAH,,,71350,71350
TAJAR,2,KOTA SETAR,KEDAH,,,71350,71350
